gender,age_group,region,zona,race,education,income,ideology,party,religion,interest_politics,presidential_vote,abortion_opinion
Woman,Senior Adult,Louisiana,Urban,White,Medium,Low Income,Right,Republican,Religious,Very interested,Donald Trump,Legal only in specific cases
Man,Senior Adult,Kentucky,Urban,White,Medium,Middle Income,Right,Republican,Religious,Not very interested,Donald Trump,Always illegal
Man,Adult,New York,Rural,White,High,,Right,Republican,Religious,Somewhat interested,Donald Trump,Legal only in specific cases
Woman,Senior Adult,Florida,Rural,Non-White,,Middle Income,Left,Democrat,Religious,Somewhat interested,Joe Biden,Always legal
Man,Adult,Maryland,Rural,White,High,Low Income,Left,Independent,Not Religious,Very interested,Joe Biden,Always legal
Man,Senior Adult,Missouri,Urban,White,Medium,Middle Income,Right,Republican,Religious,Somewhat interested,Donald Trump,Legal only in specific cases
Man,Adult,Virginia,Rural,White,Medium,Middle Income,Center,Independent,Not Religious,Somewhat interested,Jo Jorgensen,Always legal
Man,Senior Adult,Missouri,Rural,White,Medium,Low Income,Center,Democrat,Religious,Not very interested,Joe Biden,Legal only in specific cases
Man,Senior Adult,New Hampshire,Urban,White,High,Middle Income,Right,Republican,Religious,Very interested,Donald Trump,Always legal
Man,Adult,Florida,Rural,White,High,High Income,Left,Democrat,Religious,Somewhat interested,Joe Biden,Always legal
Woman,Senior Adult,Illinois,Rural,White,High,Middle Income,Left,Democrat,Not Religious,Very interested,Joe Biden,Always legal
Man,Senior Adult,Ohio,Urban,Non-White,Medium,Low Income,None,Republican,Not Religious,Somewhat interested,Donald Trump,Legal only in specific cases
Man,Adult,Alabama,Rural,White,Medium,Low Income,Right,Republican,Religious,Not at all interested,Donald Trump,Always illegal
Woman,Senior Adult,New Jersey,Rural,White,High,Middle Income,Right,Republican,Religious,Very interested,Donald Trump,Always legal
Woman,Senior Adult,New York,Rural,White,High,,Center,Republican,Religious,Somewhat interested,Donald Trump,Legal only in specific cases
Woman,Senior Adult,Texas,Urban,White,Medium,Low Income,Right,Independent,Religious,Somewhat interested,Donald Trump,Always illegal
Woman,Adult,New York,Rural,Non-White,High,Middle Income,Center,Democrat,Religious,Somewhat interested,Joe Biden,Always legal
Woman,Adult,Ohio,Rural,Non-White,Medium,Low Income,Left,Democrat,Not Religious,Somewhat interested,Joe Biden,Legal only in specific cases
Woman,Senior Adult,,Rural,Non-White,Medium,Middle Income,None,Democrat,Religious,Not very interested,Joe Biden,Always legal
Woman,Senior Adult,California,Rural,White,High,High Income,Left,Democrat,Religious,Very interested,Joe Biden,Always legal
Woman,Senior Adult,Tennessee,Rural,Non-White,High,High Income,Center,Democrat,Religious,Somewhat interested,Joe Biden,Always legal
Woman,Adult,Florida,Rural,White,Medium,Low Income,Right,Independent,Religious,Somewhat interested,Donald Trump,Legal only in specific cases
Woman,Adult,Kansas,Rural,Non-White,Medium,Middle Income,Center,Independent,Not Religious,Not at all interested,Joe Biden,Legal only in specific cases
Woman,Senior Adult,California,Rural,Non-White,Medium,Low Income,Right,Democrat,Religious,Somewhat interested,Joe Biden,Legal only in specific cases
Man,Young Adult,Florida,Rural,White,Medium,Low Income,None,Republican,Not Religious,Not at all interested,Donald Trump,Always legal
Man,Senior Adult,Maryland,Rural,White,High,Low Income,None,Independent,Religious,Very interested,Joe Biden,Legal only in specific cases
Man,Adult,New York,Rural,White,High,High Income,Left,Democrat,Not Religious,Very interested,Joe Biden,Always legal
Woman,,Idaho,Urban,White,High,,Center,Independent,Religious,Somewhat interested,Donald Trump,Always legal
Man,Adult,Pennsylvania,Urban,White,High,High Income,Right,Republican,Religious,Somewhat interested,Donald Trump,Legal only in specific cases
Man,Adult,Idaho,Rural,White,High,High Income,Left,Independent,Not Religious,Somewhat interested,Joe Biden,Always legal
Man,Senior Adult,Florida,Rural,White,Medium,High Income,Right,Republican,Not Religious,Not very interested,Donald Trump,Always legal
Man,Senior Adult,California,Rural,White,High,Middle Income,Left,Democrat,Not Religious,Very interested,Joe Biden,Always legal
Woman,Adult,Wisconsin,Urban,White,High,High Income,Left,Democrat,Religious,Somewhat interested,Joe Biden,Always legal
Man,Adult,Indiana,Urban,White,High,High Income,Center,Republican,Not Religious,Somewhat interested,Donald Trump,Legal only in specific cases
Woman,Adult,California,Rural,White,Medium,Middle Income,None,Independent,Not Religious,Not at all interested,Donald Trump,Always legal
Woman,Senior Adult,Michigan,,White,Low,High Income,None,Republican,Religious,,Donald Trump,Always illegal
Woman,Senior Adult,Texas,Rural,Non-White,High,Low Income,Center,Republican,Religious,Somewhat interested,Donald Trump,Always legal
Man,Adult,Indiana,Rural,White,Medium,Middle Income,Right,Republican,Religious,Not very interested,Donald Trump,Always legal
Man,Senior Adult,Illinois,Rural,White,Medium,Middle Income,Right,Republican,Not Religious,Somewhat interested,Donald Trump,Legal only in specific cases
Man,Senior Adult,New Jersey,Urban,White,Medium,Low Income,Left,Democrat,Religious,Somewhat interested,Joe Biden,Always legal
Woman,Adult,Missouri,Urban,White,Medium,Low Income,Right,Republican,Not Religious,Not very interested,Donald Trump,Legal only in specific cases
Man,Adult,Michigan,Rural,White,High,Middle Income,None,Independent,Not Religious,Not very interested,Joe Biden,Always legal
Man,Adult,Pennsylvania,Urban,White,Medium,Middle Income,Center,Independent,Not Religious,Very interested,Donald Trump,Always legal
Woman,Adult,Pennsylvania,Rural,White,High,Low Income,Left,Independent,Not Religious,Somewhat interested,Joe Biden,Always legal
Man,Senior Adult,New York,Rural,White,Medium,Middle Income,None,Republican,Religious,Somewhat interested,Donald Trump,Legal only in specific cases
Woman,Adult,Connecticut,Rural,White,High,Middle Income,Center,Democrat,Not Religious,Somewhat interested,Joe Biden,Always legal
Woman,Adult,Michigan,Urban,White,Medium,Middle Income,Center,Democrat,Not Religious,Not very interested,Joe Biden,Always legal
Woman,Senior Adult,California,Rural,Non-White,High,Middle Income,Center,Democrat,Religious,Somewhat interested,Joe Biden,Always legal
Man,Adult,Virginia,Rural,White,Medium,High Income,Right,Republican,Religious,Somewhat interested,Donald Trump,Legal only in specific cases
Woman,Adult,New York,Urban,White,High,Middle Income,Left,Democrat,Not Religious,Somewhat interested,Joe Biden,Legal only in specific cases
Woman,Senior Adult,California,Urban,Non-White,Low,Middle Income,Left,Independent,Not Religious,Very interested,Joe Biden,Legal only in specific cases
Man,Adult,Minnesota,Rural,White,High,Low Income,Left,Democrat,Not Religious,Somewhat interested,Joe Biden,Always legal
Man,Adult,Delaware,Urban,White,High,,Center,Independent,,Somewhat interested,Howie Hawkins,Legal only in specific cases
Woman,Senior Adult,Wisconsin,Urban,White,High,Middle Income,Right,Republican,Not Religious,Very interested,Donald Trump,Legal only in specific cases
Man,Adult,Michigan,Rural,White,Medium,,Right,Republican,Not Religious,Somewhat interested,Donald Trump,Legal only in specific cases
Woman,Senior Adult,California,Rural,White,High,Middle Income,Left,Democrat,Not Religious,Very interested,Joe Biden,Always legal
Man,Senior Adult,Indiana,Urban,White,High,Middle Income,Center,Democrat,Not Religious,Not very interested,Joe Biden,Always legal
Woman,Adult,Florida,Rural,Non-White,Medium,Middle Income,None,Democrat,Not Religious,Somewhat interested,Joe Biden,Always legal
Woman,Senior Adult,Arizona,Rural,White,High,Middle Income,Left,Democrat,Religious,Somewhat interested,Joe Biden,Legal only in specific cases
Woman,Adult,Texas,Urban,White,Medium,Low Income,Right,Republican,Religious,Somewhat interested,Donald Trump,Always illegal
Man,Senior Adult,Virginia,Rural,White,High,Middle Income,Right,Independent,Not Religious,Somewhat interested,Jo Jorgensen,Legal only in specific cases
Man,Senior Adult,Ohio,Rural,White,High,Low Income,Right,Republican,Religious,Very interested,Donald Trump,Legal only in specific cases
Man,Senior Adult,Washington,Rural,White,High,Low Income,Left,Independent,Not Religious,Very interested,Joe Biden,Always legal
Man,Adult,Illinois,Rural,White,Medium,Low Income,Left,Democrat,Not Religious,Not very interested,Joe Biden,Always legal
Woman,Senior Adult,Florida,Rural,White,High,Middle Income,Left,Democrat,Not Religious,Very interested,Joe Biden,Always legal
Man,Senior Adult,Oklahoma,Urban,White,High,Middle Income,Right,Republican,Religious,Not very interested,Donald Trump,Legal only in specific cases
Woman,Adult,New York,Rural,White,Medium,Low Income,Left,Democrat,Not Religious,Somewhat interested,Joe Biden,Always legal
Man,Senior Adult,,Rural,Non-White,Low,Middle Income,None,Democrat,Not Religious,Not at all interested,Joe Biden,Always legal
Woman,Senior Adult,Pennsylvania,Urban,White,High,High Income,None,Independent,Religious,Somewhat interested,Other,Legal only in specific cases
Woman,Senior Adult,New York,Rural,White,High,Middle Income,Right,Independent,Religious,Somewhat interested,Donald Trump,Legal only in specific cases
,Adult,California,Rural,White,High,High Income,Center,Democrat,Not Religious,Somewhat interested,Joe Biden,Always legal
Woman,Adult,Mississippi,Urban,White,Medium,Middle Income,Right,Republican,Religious,Very interested,Donald Trump,Always legal
Woman,Adult,Kansas,Rural,White,High,Middle Income,Center,Republican,Religious,Not very interested,Donald Trump,Legal only in specific cases
Man,Senior Adult,Illinois,Rural,White,High,Low Income,None,Independent,Not Religious,Somewhat interested,Joe Biden,Always legal
Woman,Adult,Ohio,Rural,White,Medium,Low Income,Left,Democrat,Not Religious,Somewhat interested,Joe Biden,Always legal
Woman,Senior Adult,Michigan,Urban,White,High,Low Income,Right,Republican,Not Religious,Somewhat interested,Donald Trump,Legal only in specific cases
Woman,Adult,Pennsylvania,Rural,White,High,High Income,Center,Republican,Religious,Somewhat interested,Donald Trump,Always legal
Man,Adult,Indiana,Rural,White,Medium,Low Income,Left,Independent,Not Religious,Very interested,Donald Trump,Legal only in specific cases
Woman,Adult,Virginia,Urban,Non-White,High,Middle Income,Left,Democrat,Not Religious,Somewhat interested,Joe Biden,Always illegal
Woman,Adult,Ohio,Urban,White,Medium,Low Income,Center,Independent,Religious,Somewhat interested,Howie Hawkins,Always legal
Woman,Senior Adult,Pennsylvania,Rural,White,Medium,Middle Income,Right,Republican,Religious,Somewhat interested,Donald Trump,Always illegal
Man,Adult,California,Rural,White,High,High Income,Right,Independent,Religious,Somewhat interested,Donald Trump,Always illegal
Man,Senior Adult,Kansas,Urban,White,High,Middle Income,Right,Republican,Religious,Not very interested,Donald Trump,Always illegal
Woman,Adult,Indiana,Urban,White,High,,Right,Republican,Religious,Not very interested,Donald Trump,Always illegal
Man,Young Adult,Illinois,Rural,White,High,Middle Income,Left,Democrat,Religious,Very interested,Joe Biden,Always legal
Woman,Senior Adult,California,Rural,Non-White,High,Low Income,Left,Democrat,Not Religious,Not very interested,Joe Biden,Always legal
Woman,Adult,Illinois,Rural,Non-White,High,Low Income,None,Democrat,Not Religious,Not at all interested,Joe Biden,Always legal
Man,Adult,Alabama,Urban,White,Medium,Middle Income,Right,Republican,Not Religious,Somewhat interested,Donald Trump,Legal only in specific cases
Woman,Adult,Texas,Rural,White,High,Middle Income,Left,Democrat,Not Religious,Somewhat interested,Joe Biden,Always legal
Woman,,Georgia,Urban,White,High,Low Income,Right,Independent,Religious,Somewhat interested,Donald Trump,Always legal
Man,Adult,Colorado,Rural,White,High,High Income,Right,Independent,Religious,Not very interested,Donald Trump,Always illegal
Man,Senior Adult,Georgia,Rural,White,Medium,Low Income,None,Independent,Not Religious,Somewhat interested,Joe Biden,Legal only in specific cases
Man,Adult,New York,Rural,Non-White,Medium,High Income,Left,Democrat,Religious,Very interested,Joe Biden,Legal only in specific cases
Woman,Adult,Wisconsin,Rural,Non-White,High,Low Income,Center,Independent,Religious,Somewhat interested,Joe Biden,Legal only in specific cases
Woman,Senior Adult,Michigan,Urban,White,Medium,Low Income,Center,Democrat,Religious,Not very interested,Joe Biden,Always legal
Woman,Adult,Arizona,Rural,White,High,High Income,Left,Democrat,Not Religious,Somewhat interested,Joe Biden,Always legal
Man,Senior Adult,North Carolina,Urban,White,High,Low Income,Right,Independent,Religious,Not very interested,Donald Trump,Legal only in specific cases
Woman,Senior Adult,Connecticut,Urban,White,Medium,,Right,Independent,Religious,Very interested,Donald Trump,Always illegal
Man,Senior Adult,Pennsylvania,Rural,White,High,Middle Income,None,Democrat,Religious,Somewhat interested,Donald Trump,Legal only in specific cases
Man,Senior Adult,New Jersey,Rural,White,Medium,High Income,Center,Independent,,Not very interested,Donald Trump,Always legal
Woman,Adult,New Jersey,Rural,White,High,High Income,Right,Republican,Religious,Not very interested,Donald Trump,Always legal
Woman,Adult,New York,Urban,White,High,Low Income,Left,Democrat,Religious,Very interested,Joe Biden,Always legal
Woman,Adult,Michigan,Rural,White,Medium,Low Income,Center,Independent,Religious,Not very interested,Joe Biden,Legal only in specific cases
Woman,Senior Adult,Nebraska,Rural,White,Medium,High Income,Right,Republican,Religious,Somewhat interested,Donald Trump,Legal only in specific cases
Woman,Adult,Virginia,Rural,White,High,Low Income,Left,Independent,Religious,Not very interested,Joe Biden,Always legal
Man,Senior Adult,Illinois,Rural,Non-White,High,Middle Income,Left,Democrat,Religious,Somewhat interested,Joe Biden,Always legal
Man,Senior Adult,Ohio,Urban,White,Medium,Middle Income,Center,Independent,Religious,Somewhat interested,Joe Biden,Always legal
Man,Adult,Wisconsin,Rural,White,High,Low Income,Left,Democrat,Religious,Very interested,Joe Biden,Legal only in specific cases
Man,Adult,Colorado,Rural,Non-White,High,High Income,Right,Republican,Religious,Not at all interested,Donald Trump,Always illegal
Woman,Adult,Pennsylvania,Rural,White,High,Low Income,Right,Republican,Religious,Somewhat interested,Donald Trump,Always legal
Woman,Adult,California,Rural,White,High,Middle Income,Right,Independent,Religious,Somewhat interested,Donald Trump,Legal only in specific cases
Woman,Senior Adult,California,Urban,White,High,Low Income,Center,Democrat,Not Religious,Somewhat interested,Joe Biden,Legal only in specific cases
Woman,Adult,Arizona,Rural,White,High,Low Income,Right,Republican,Religious,Somewhat interested,Donald Trump,Legal only in specific cases
Woman,Senior Adult,Colorado,Rural,White,Medium,Low Income,Left,Independent,Religious,Somewhat interested,Joe Biden,Always legal
Woman,Adult,Maryland,Rural,White,High,,Left,Democrat,Not Religious,Somewhat interested,Joe Biden,Always legal
Woman,Adult,,Rural,Non-White,Medium,,Right,Democrat,Not Religious,Not very interested,Joe Biden,Always illegal
Man,Senior Adult,Oregon,Urban,White,Medium,Low Income,None,Democrat,Not Religious,Somewhat interested,Joe Biden,Always legal
Woman,Senior Adult,Nebraska,Urban,White,Medium,Middle Income,Right,Republican,Religious,Very interested,Donald Trump,Legal only in specific cases
Man,Senior Adult,New Mexico,Urban,White,Medium,Low Income,Center,Democrat,Not Religious,Not very interested,Joe Biden,Legal only in specific cases
